"ISO3","Name","Value","sign"
"ROU","Romania",-0.000229751230716351,0
"RUS","Russian Federation",0.00750476909374729,1
"RWA","Rwanda",0.00595684744603977,1
"KNA","Saint Kitts and Nevis",0.000870740273658466,0
"LCA","Saint Lucia",-0.00433403876550294,-1
"VCT","Saint Vincent and the Grenadines",-0.00270811671026581,0
"WSM","Samoa",7.11026715288957e-05,0
"SMR","San Marino",0.000480164762041694,0
"STP","Sao Tome and Principe",0.000953602630388722,0
"SAU","Saudi Arabia",0.00909803391925123,1
"SEN","Senegal",0.00563765355244671,1
"SRB","Serbia",0.0076727823209764,0
"SYC","Seychelles",0.00392551752320629,0
"SLE","Sierra Leone",0.00389067320544109,0
"SGP","Singapore",-0.000231320535283172,0
"SVK","Slovakia",0.00214780376932635,1
"SVN","Slovenia",-0.00431506112677306,-1
"SLB","Solomon Islands",0.000910248341784007,0
"SOM","Somalia",-0.0151739277896215,0
"ZAF","South Africa",-0.00298870408030679,0
"ESP","Spain",-0.000905200969036414,0
"LKA","Sri Lanka",0.00228183348118179,0
"SDN","Sudan",0.0031084471347745,0
"SUR","Suriname",0.00100725232282225,0
"SWZ","Swaziland",-0.000997047807076729,0
"SWE","Sweden",-0.00609612630647633,-1
"CHE","Switzerland",-0.00624690143994971,-1
"SYR","Syrian Arab Republic",-0.00502527672162391,-1
"TJK","Tajikistan",0.00806155547414723,1
"TZA","Tanzania, United Republic of",-0.000345140706543965,0
"THA","Thailand",0.00703948799637746,1
"TLS","Timor-Leste",-0.00633486888525942,-1
"TGO","Togo",0.0088741920965862,1
"TON","Tonga",0.000315789304932095,0
"TTO","Trinidad and Tobago",-0.00496933491291799,-1
"TUN","Tunisia",0.00194937013407329,0
"TUR","Turkey",0.00567329756352727,0
"TKM","Turkmenistan",0.000883446612912367,0
"TUV","Tuvalu",0.0072459603054985,1
"UGA","Uganda",0.00212137290093478,0
"UKR","Ukraine",0.00973250074131852,1
"ARE","United Arab Emirates",0.00074372546114028,0
"GBR","United Kingdom",-0.00680477214887491,-1
"USA","United States",-0.00690557153924697,-1
"URY","Uruguay",0.00740796334764531,1
"UZB","Uzbekistan",0.0184566564674533,1
"VUT","Vanuatu",0.000367849054435916,0
"VEN","Venezuela, Bolivarian Republic o",-0.00452053456761869,-1
"VNM","Viet Nam",0.00796093549478333,1
"YEM","Yemen",-0.00431667758736842,-1
"ZMB","Zambia",-0.000715627209404693,0
"ZWE","Zimbabwe",0.00336536769223969,0
