"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"BDI","Burundi",0.055,,,,,0.052,,,,0.217,,,,,,0.7367,0.7066,0.7571,0.7507,0.757,0.716,,0.9527,,0.6628,
"KHM","Cambodia",,1.1724,,1.1551,,1.0836,,,,,,,,1.0897,1.0922,1.0862,1.0996,1.0881,1.2942,1.1549,0.5889,0.7195,0.7007,0.6855,1.0076,
"CMR","Cameroon",,0.074,,,,,,,,0.181,0.4373,,0.5096,,0.4533,0.6109,0.0881,,,,,,,,,
"CAN","Canada",2.1,2.1,2.1,12.0457,2.1,,11.8986,11.3676,,11.8038,9.9467,11.9322,10.1208,12.248,10.3743,11.3617,9.2368,11.7435,11.9297,12.2436,12.3576,12.2299,12.5593,12.4125,14.2545,
"CPV","Cape Verde",,0.171,,,,,,,,1.367,,,,,1.5348,1.6951,1.6737,1.6053,1.3895,0.9184,1.7305,1.1523,1.28,1.2983,,
"CAF","Central African Republic",0.035,,,,,,,,,0.4909,,,,0.2359,0.3002,,,,0.1156,,0.2784,,,,,
"TCD","Chad",,,0.0738,0.0762,0.0884,0.1527,,,,0.2921,,0.216,,,,,,0.3195,0.3816,0.3084,0.3018,0.2504,0.2756,,0.1919,
"CHL","Chile",,,,,,,,0.8921,0.9466,0.9842,0.9804,1.0404,1.0365,1.0389,1.0294,2.8665,3.1709,3.4942,3.7612,13.2861,15.2716,15.8322,17.0194,18.5072,,
"CHN","China",2.0688,2.0965,2.131,2.137,2.1782,2.2119,1.2535,2.0617,2.1173,2.1731,1.2127,1.247,1.2676,1.3166,1.3922,1.4334,1.4596,1.5367,3.6218,3.8226,4.0646,4.3312,4.6419,,,
"COL","Colombia",0.4794,1.721,1.7616,1.8175,1.8646,1.2467,1.8335,1.8888,1.9172,1.9677,1.4146,1.4521,1.494,1.545,1.5999,1.6493,3.0548,3.1599,3.2782,3.4065,3.4971,3.5929,3.7157,3.8441,,
"COM","Comoros",,,0.074,,,,,,,1.1772,0.7522,,,,0.8926,,,1.0913,0.3978,,,0.6285,,,,
