"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"AFG","Afghanistan",,-1.78807544708252,,-1.73713982105255,,-1.77843749523163,,-1.67082321643829,-1.55382871627808,-1.69714272022247,-1.65866804122925,-1.86318862438202,-1.82966613769531,-1.86437952518463,-1.84709227085114,-1.84542655944824,-1.89654612541199,-1.64308094978333,-1.59734785556793,-1.44576096534729,-1.50408601760864,-1.49847829341888,-1.56242287158966,-1.66403806209564,-1.71371388435364,-1.80769681930542
"ALB","Albania",,-0.684481799602509,,-0.924325168132782,,-1.00877952575684,,-0.762146770954132,-0.723140358924866,-0.687772810459137,-0.736335754394531,-0.684768974781036,-0.646295726299286,-0.588694632053375,-0.50042986869812,-0.407361805438995,-0.45534536242485,-0.520289599895477,-0.518073856830597,-0.337957352399826,-0.328307896852493,-0.328999608755112,-0.404323071241379,-0.403385102748871,-0.411093264818192,-0.3582943379879
"DZA","Algeria",,-1.21819484233856,,-1.16056227684021,,-1.2113356590271,,-0.630158603191376,-0.587644040584564,-0.620909214019775,-0.750832140445709,-0.708591282367706,-0.772745668888092,-0.741468846797943,-0.793536186218262,-0.784934520721436,-0.807625412940979,-0.772241532802582,-0.689426302909851,-0.77327036857605,-0.864008247852325,-0.857603907585144,-0.863662540912628,-0.740966141223907,-0.815708339214325,-0.780317664146423
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",,-1.63046932220459,,-1.70075333118439,,-1.66330718994141,,-1.61732935905457,-1.5214102268219,-1.4962785243988,-1.42766094207764,-1.30031430721283,-1.36590361595154,-1.36698222160339,-1.23083519935608,-1.26527523994446,-1.26532173156738,-1.26948368549347,-1.2679443359375,-1.11824452877045,-1.08198928833008,-1.0875540971756,-1.10116815567017,-1.04834282398224,-1.0545973777771,-0.963171541690826
"ATG","Antigua and Barbuda",,1.05084490776062,,1.08789551258087,,1.05892419815063,,1.06104576587677,1.06898891925812,0.922665536403656,0.668598592281342,0.931670546531677,0.906755805015564,0.946843028068542,0.979063630104065,0.95924574136734,0.949439644813538,0.951498925685883,0.837723672389984,-0.17729651927948,0.589781105518341,0.508821368217468,0.445808261632919,0.415340930223465,0.405234217643738,0.452020168304443
"ARG","Argentina",,0.0755526423454285,,-0.00576896127313375,,-0.149922728538513,,-0.757995069026947,-0.773514151573181,-0.807372510433197,-0.554654777050018,-0.568944036960602,-0.591604113578796,-0.676608085632324,-0.675477802753448,-0.590495407581329,-0.560863256454468,-0.679646551609039,-0.707728445529938,-0.886138796806335,-0.770878255367279,-0.393746942281723,-0.249286144971848,-0.243671402335167,-0.430634170770645,-0.469371497631073
"ARM","Armenia",,-0.469098508358002,,-0.364701896905899,,-0.478565722703934,,-0.423272013664246,-0.302556425333023,-0.422607660293579,-0.400249153375626,-0.546435356140137,-0.498376488685608,-0.340526551008224,-0.475851953029633,-0.488626003265381,-0.440941572189331,-0.417891442775726,-0.344272136688232,-0.366001278162003,-0.387929946184158,-0.119233980774879,-0.160627886652946,-0.14945924282074,-0.130979955196381,-0.0832231342792511
"AUS","Australia",,1.71339905261993,,1.80036199092865,,1.75140726566315,,1.79998970031738,1.88204908370972,1.81557154655457,1.72445118427277,1.77003979682922,1.76123654842377,1.77085077762604,1.74039816856384,1.76498651504517,1.74251449108124,1.76685762405396,1.77853524684906,1.92304611206055,1.82507264614105,1.75566697120667,1.68646132946014,1.71538209915161,1.73447251319885,1.65118837356567
"AUT","Austria",,1.80815303325653,,1.84745705127716,,1.8423718214035,,1.89165592193604,1.88724708557129,1.83698606491089,1.85919106006622,1.91355669498444,1.96012818813324,1.92299485206604,1.78489017486572,1.80851900577545,1.80849158763885,1.86435699462891,1.84264028072357,1.94288051128387,1.84910702705383,1.80026388168335,1.84235036373138,1.89615523815155,1.90416181087494,1.81044065952301
"AZE","Azerbaijan",,-1.20116150379181,,-1.13970518112183,,-1.14998030662537,,-0.90865695476532,-0.836519777774811,-0.874774634838104,-0.791749894618988,-0.885042726993561,-0.879309952259064,-0.832451939582825,-0.87999427318573,-0.893039345741272,-0.893662691116333,-0.834468424320221,-0.723909258842468,-0.672340154647827,-0.67376321554184,-0.520019292831421,-0.557517886161804,-0.587533950805664,-0.577151536941528,-0.691043376922607
"BHS","Bahamas",,1.14636123180389,,1.29558324813843,,1.31682419776917,,1.43070101737976,1.4536646604538,1.39956200122833,1.37780916690826,1.08669769763947,1.26632416248322,1.19543361663818,0.796727895736694,0.722504019737244,0.617164313793182,0.619691252708435,0.637829482555389,0.665349900722504,0.597014486789703,0.260258495807648,0.191440060734749,0.0970906913280487,0.0764876306056976,0.0620066486299038
"BHR","Bahrain",,-0.0101162660866976,,0.377478659152985,,0.298458129167557,,0.567690253257751,0.62020081281662,0.709429264068604,0.606274902820587,0.379538387060165,0.532829880714417,0.5328768491745,0.517286479473114,0.435535997152328,0.352279275655746,0.258326530456543,0.331009745597839,0.413636445999146,0.424948662519455,0.456353068351746,0.449234873056412,0.412806153297424,0.494427353143692,0.491358041763306
"BGD","Bangladesh",,-0.93402373790741,,-0.890810310840607,,-0.911692678928375,,-0.903027236461639,-1.04765260219574,-1.01997041702271,-0.978906571865082,-0.903965473175049,-0.826785683631897,-0.750139594078064,-0.785552620887756,-0.80292159318924,-0.732393085956573,-0.929256677627563,-0.866865873336792,-0.777767777442932,-0.751346707344055,-0.663668930530548,-0.671888113021851,-0.640980660915375,-0.636377155780792,-0.573180198669434
"BRB","Barbados",,1.04677295684814,,1.26967716217041,,1.42304360866547,,1.52447736263275,1.55511784553528,1.44181740283966,1.34557628631592,1.2367250919342,1.32891297340393,1.30876338481903,1.01432013511658,1.08104908466339,1.08175754547119,1.03162491321564,1.04609370231628,1.08242046833038,1.09509646892548,0.79514092206955,0.660408020019531,0.395006626844406,0.357047945261002,0.337748825550079
"BLR","Belarus",,-0.798983991146088,,-0.934963524341583,,-1.13380777835846,,-1.33594751358032,-1.19421935081482,-1.261962890625,-1.22758960723877,-1.33436191082001,-1.20922756195068,-1.06269836425781,-1.03004717826843,-1.06964921951294,-1.10725164413452,-0.936955988407135,-0.90096777677536,-0.840408563613892,-0.813002288341522,-0.716223359107971,-0.818701505661011,-0.830291986465454,-0.794349312782288,-0.995916664600372
"BEL","Belgium",,1.36694669723511,,1.25469815731049,,1.34011483192444,,1.37416207790375,1.36513614654541,1.32816255092621,1.26829838752747,1.23609042167664,1.33067214488983,1.34549486637115,1.38407266139984,1.42474389076233,1.4434494972229,1.45539176464081,1.46439218521118,1.5519505739212,1.48884117603302,1.42994284629822,1.35845935344696,1.37673699855804,1.37408995628357,1.36891961097717
"BLZ","Belize",,0.084681548178196,,-0.044964924454689,,0.129985824227333,,-0.0890892148017883,0.0991290211677551,-0.191842779517174,-0.162751317024231,-0.0447870418429375,-0.107792429625988,-0.208732530474663,-0.367874175310135,-0.339497596025467,-0.484988629817963,-0.457783699035645,-0.467109113931656,-0.74525386095047,-0.721028327941895,-0.863936901092529,-0.876825869083405,-0.823862135410309,-0.775239825248718,-0.75969922542572
"BEN","Benin",,0.0523155070841312,,0.0417536273598671,,-0.157177463173866,,-0.228581085801125,-0.37793818116188,-0.509538471698761,-0.541541635990143,-0.533922433853149,-0.517242789268494,-0.533910751342773,-0.653883695602417,-0.673160076141357,-0.663262784481049,-0.585642457008362,-0.568722426891327,-0.488120198249817,-0.536080896854401,-0.608762204647064,-0.626069664955139,-0.673347949981689,-0.663771510124207,-0.727878749370575
"BTN","Bhutan",,-0.0315036252140999,,0.162765696644783,,0.133474797010422,,0.0583945140242577,0.206634938716888,0.341372042894363,0.311701059341431,0.193787485361099,0.338521271944046,0.384160190820694,0.21322076022625,0.16188408434391,0.195594489574432,0.236302062869072,0.290250837802887,0.378931403160095,0.522245347499847,0.493478357791901,0.611513018608093,0.549363791942596,0.590358734130859,0.594143807888031
"BOL","Bolivia, Plurinational State of",,-0.261528313159943,,-0.218658357858658,,-0.387524843215942,,-0.400344997644424,-0.452089250087738,-0.684771120548248,-0.756328821182251,-0.850106418132782,-0.830112516880035,-0.974527835845947,-1.10793030261993,-1.02372908592224,-0.979010403156281,-1.01602256298065,-1.04647409915924,-1.05529987812042,-1.14111971855164,-1.20080602169037,-1.20486986637115,-1.14521455764771,-1.12144565582275,-1.15160584449768
"BIH","Bosnia and Herzegovina",,-0.241686642169952,,-0.642465949058533,,-0.612161695957184,,-0.659653902053833,-0.627507269382477,-0.502165794372559,-0.518490135669708,-0.496047884225845,-0.470454961061478,-0.411505043506622,-0.358060479164124,-0.350846439599991,-0.332659244537354,-0.206726595759392,-0.151633247733116,-0.185709938406944,-0.281446397304535,-0.21684692800045,-0.215161427855492,-0.234235256910324,-0.233454778790474,-0.306057184934616
"BWA","Botswana",,0.584521055221558,,0.678050637245178,,0.59472382068634,,0.570270538330078,0.730522274971008,0.652784585952759,0.639998972415924,0.622543275356293,0.649875521659851,0.695975542068481,0.666224598884583,0.67467337846756,0.667663931846619,0.66246235370636,0.596018731594086,0.633536398410797,0.596055150032043,0.533708512783051,0.509061574935913,0.465310007333755,0.498901456594467,0.440531641244888
"BRA","Brazil",,-0.223502203822136,,-0.193650528788567,,-0.208450123667717,,-0.231834039092064,-0.322894603013992,-0.364876687526703,-0.429489582777023,-0.366404682397842,-0.37100288271904,-0.315274953842163,-0.156511157751083,0.0440960340201855,0.0376661345362663,-0.0694452598690987,-0.0802454873919487,-0.0499485470354557,-0.14715901017189,-0.157332241535187,-0.246949851512909,-0.252479612827301,-0.18063522875309,-0.17581370472908
"BRN","Brunei Darussalam",,0.816034913063049,,0.559316635131836,,0.53796398639679,,0.502063751220703,0.590916991233826,0.381488591432571,0.241907551884651,0.122820816934109,0.412538826465607,0.465149164199829,0.788691103458405,0.77921736240387,0.849959790706635,0.793017208576202,0.594529151916504,0.472453147172928,0.407877177000046,0.561680793762207,0.649717211723328,0.629348456859589,0.614343225955963,0.931134462356567
"BGR","Bulgaria",,-0.344958007335663,,-0.212662473320961,,-0.121004797518253,,-0.033465389162302,-0.140373602509499,-0.112541936337948,-0.0955871343612671,-0.0935351625084877,-0.0459551811218262,-0.107263453304768,-0.0383404083549976,-0.0888702347874641,-0.128314897418022,-0.103794597089291,-0.130227670073509,-0.0763632208108902,-0.125640332698822,-0.10516756772995,-0.0883203148841858,-0.0698141977190971,-0.00632679089903831,-0.0870779305696487
"BFA","Burkina Faso",,-0.933221638202667,,-0.747395753860474,,-0.620350122451782,,-0.65175849199295,-0.540295362472534,-0.566935896873474,-0.520029127597809,-0.431035161018372,-0.399378418922424,-0.344881445169449,-0.207123845815659,-0.194475546479225,-0.358927309513092,-0.436774700880051,-0.530505836009979,-0.547351539134979,-0.523429691791534,-0.441426545381546,-0.401233941316605,-0.445309102535248,-0.426168143749237,-0.41812527179718
"BDI","Burundi",,-1.41612029075623,,-1.22602307796478,,-1.35413181781769,,-1.24786174297333,-1.39783668518066,-1.53741002082825,-1.15388464927673,-0.97044050693512,-1.06463599205017,-1.02313327789307,-1.147296667099,-1.19545316696167,-1.13857567310333,-1.0834755897522,-1.07004415988922,-0.966125845909119,-1.16763663291931,-1.46052062511444,-1.39045095443726,-1.49381279945374,-1.43212926387787,-1.31648182868958
"KHM","Cambodia",,-1.19436883926392,,-1.15913891792297,,-1.05912947654724,,-1.14305150508881,-1.25317621231079,-1.27972948551178,-1.23393535614014,-1.23453748226166,-1.14224374294281,-1.14830446243286,-1.11806333065033,-1.11849641799927,-1.04498958587646,-0.979624271392822,-1.00416362285614,-0.95531553030014,-0.978532433509827,-1.06389272212982,-1.05388581752777,-1.11207151412964,-0.935708165168762,-0.945800125598907
"CMR","Cameroon",,-1.44189488887787,,-1.07115459442139,,-1.19886946678162,,-1.23002994060516,-1.0764354467392,-1.18595612049103,-1.20788717269897,-1.15453720092773,-1.18469297885895,-1.09985840320587,-1.12314236164093,-1.07122814655304,-1.07442903518677,-1.04146504402161,-1.05099856853485,-0.896552681922913,-0.976028442382812,-1.03622829914093,-1.0299299955368,-1.07769370079041,-1.11898148059845,-1.14644575119019
"CAN","Canada",,1.64725470542908,,1.75800597667694,,1.69438850879669,,1.69340884685516,1.73484206199646,1.70660054683685,1.66165947914124,1.81453549861908,1.81470561027527,1.80829036235809,1.80408155918121,1.80573582649231,1.73646545410156,1.76349401473999,1.75587201118469,1.89062321186066,1.84191989898682,1.84126806259155,1.80602288246155,1.75656116008759,1.76027345657349,1.65511918067932
"CPV","Cape Verde",,1.04418814182281,,0.831155955791473,,0.781645536422729,,0.341298133134842,0.293519884347916,0.357084631919861,0.402133673429489,0.653331220149994,0.628360033035278,0.576220571994781,0.535593032836914,0.474676340818405,0.510720670223236,0.524123430252075,0.535892426967621,0.634725749492645,0.590640068054199,0.347401142120361,0.403487205505371,0.444187521934509,0.515891551971436,0.487906724214554
