"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"AFG","Afghanistan",13.73297119,13.73297119,13.73297119,13.73297119,13.73297119,13.73297119,13.73297119,13.73297119,6.65036345,9.9371376,15.71056557,18.48848534,16.17664719,18.47561455,21.8033886,15.52872467,21.13860512,21.17189598,22.91737556,21.98381996,16.44546318,18.94781876,19.42013359,19.79253006,12.41163731,12.41163731
"ALB","Albania",1.36059821,1.36059821,1.36059821,1.36059821,1.36059821,1.36059821,3.65984845,2.82458353,8.18006706,5.69244814,5.39879751,6.06361151,5.46033478,2.7284925,2.06982613,2.513062,1.10563147,1.03252125,1.24365354,0.72081369,0.92881268,1.19822252,2.05901527,1.34841299,1.34841299,1.34841299
"DZA","Algeria",0.052187,0.052187,0.052187,0.052187,0.052187,0.052187,0.04628069,0.04450536,0.05022801,0.04680432,0.07937499,0.05232034,0.0662283,0.03665671,0.05150365,0.02814942,0.01970796,0.03197956,0.01982955,0.03547192,0.02683079,0.02010599,0.02891922,0.0269387,0.04463453,0.04463453
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.51365387,0.51365387,0.51365387,0.51365387,0.51365387,0.51365387,1.43060005,1.27742219,1.03922689,1.92934799,3.03782797,5.85646009,2.69763899,2.4888041,3.82744408,3.24644589,2.8612268,2.17543125,2.56596041,3.1701467,2.67032242,3.64164376,3.11478901,3.33443999,3.1704843,3.1704843
"ATG","Antigua and Barbuda",0.34878898,0.34878898,0.34878898,0.34878898,0.34878898,0.34878898,0.07303306,0.13711631,0,0.04309067,0.15506253,0.13964188,0.1426902,0.18763787,0.02764631,0.12729101,0.05339933,0,0.23532581,0,0,0.01355033,0.02284085,0.09705941,0.04647173,0.04647173
"ARG","Argentina",0.03062808,0.03062808,0.03062808,0.03062808,0.03062808,0.03062808,0.20073752,1.96734369,0.34346458,6.29007912,1.1830759,0.32621664,0.2294213,0.92570233,0.28787011,0.31598699,0.58026624,0.52099127,0.44593167,0.52839452,0.28386164,0.30856231,0.43379211,0.30256081,0.25067601,0.25067601
"ARM","Armenia",12.77933121,12.77933121,12.77933121,12.77933121,12.77933121,12.77933121,18.01124001,7.93093824,5.22895432,5.45582008,11.67522335,11.57289124,12.21758938,5.88885784,4.58921719,3.72884226,3.15005517,2.96057177,2.07229877,1.52948999,1.08290088,1.8710475,1.2871294,1.21678388,0.9952727,0.9952727
"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
