"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"AFG","Afghanistan",0.495878032201094,0.495878032201094,0.495878032201094,0.495878032201094,0.495878032201094,0.495878032201094,0.495878032201094,0.495878032201094,0.240135153229582,0.358815887008316,0.56728614892098,0.66759287571024,0.584115692460618,0.667128129812956,0.787289311591702,0.560720132986181,0.763284926863782,0.764487012408031,0.827513794260443,0.793804431044462,0.593822255031903,0.68417875135816,0.701233367234026,0.714680073426543,0.448166547539119,0.448166547539119
"ALB","Albania",0.0491292637009553,0.0491292637009553,0.0491292637009553,0.0491292637009553,0.0491292637009553,0.0491292637009553,0.132151915447237,0.101991688707826,0.295370572097282,0.205546195576777,0.194942889522727,0.218948376284383,0.197164912705653,0.0985219784601794,0.0747384738628296,0.0907430899051749,0.0399227778241049,0.0372828718980087,0.0449065582111022,0.0260275558169877,0.0335381031292926,0.0432661087783609,0.0743481091042473,0.0486892727600336,0.0486892727600336,0.0486892727600336
"DZA","Algeria",0.00188439824918023,0.00188439824918023,0.00188439824918023,0.00188439824918023,0.00188439824918023,0.00188439824918023,0.00167112980640491,0.00160702516839703,0.00181366191012718,0.00169003733999025,0.00286611784897959,0.00188921296668738,0.00239140959561161,0.00132362159435697,0.00185972345385616,0.00101643546790271,0.000711626368998294,0.00115473636870397,0.000716016810738916,0.00128084051474622,0.000968821616496874,0.000725998665453756,0.00104423184961116,0.000972718092919528,0.00161168931314278,0.00161168931314278
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.0185473097382997,0.0185473097382997,0.0185473097382997,0.0185473097382997,0.0185473097382997,0.0185473097382997,0.0516569304519736,0.0461258960718181,0.0375250030087381,0.0696660082858833,0.109691641749453,0.211468433517732,0.0974079021533393,0.0898671716824606,0.138203554969384,0.117224537742625,0.103314825002923,0.0785517243511211,0.0926531761563182,0.114469482651321,0.0964215397128539,0.131494570017094,0.1124705953017,0.120401879379013,0.114481672906536,0.114481672906536
"ATG","Antigua and Barbuda",0.0125942733486377,0.0125942733486377,0.0125942733486377,0.0125942733486377,0.0125942733486377,0.0125942733486377,0.00263711978838168,0.00495107468331296,0,0.00155594272719265,0.00559908712984951,0.00504226941928518,0.00515233991329596,0.00677533626588819,0.000998268882294323,0.0045962970927699,0.00192817375897057,0,0.00849727986569297,0,0,0.000489283118934108,0.000824750565270818,0.00350467707035212,0.00167802798874004,0.00167802798874004
"ARG","Argentina",0.00110593635058064,0.00110593635058064,0.00110593635058064,0.00110593635058064,0.00110593635058064,0.00110593635058064,0.00724834597184703,0.0710379789022509,0.0124020168472497,0.227125799163261,0.0427191859008435,0.0117792182970751,0.00828407641835422,0.0334257928203203,0.0103945797090333,0.011409840203877,0.0209525875546476,0.0188122528029238,0.0161019575411887,0.0190795736172692,0.0102498395658963,0.0111417455827506,0.0156636153178415,0.0109250399646378,0.00905155372708692,0.00905155372708692
"ARM","Armenia",0.461443450625984,0.461443450625984,0.461443450625984,0.461443450625984,0.461443450625984,0.461443450625984,0.650360226501023,0.286374885197703,0.188810093809788,0.197001893318151,0.421575688189168,0.417880621430801,0.441159753135358,0.212638270131781,0.165710097111231,0.134643183670516,0.113744006115874,0.106902030389952,0.0748277573718807,0.0552277053537219,0.03910200859041,0.067560860619178,0.0464764096006361,0.0439363330542611,0.035937879804106,0.035937879804106
"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE","Azerbaijan",0.072049940156517,0.072049940156517,0.072049940156517,0.072049940156517,0.072049940156517,0.072049940156517,0.0450508098052077,0.0300655626914691,0.0956336137565175,0.0648692403517996,0.0323297285543839,0.0616533437835211,0.0620569831378522,0.0462854114831174,0.043500491710879,0.053576830652954,0.0499980060663859,0.065354191524886,0.0284243965034967,0.0369126481419637,0.0300160545841729,0.0183412738432721,0.0242269991533886,0.0237238315648591,0.0109046216482378,0.0109046216482378
